,METHOD_TO_METHOD,FIELD,INHERITANCE,IMPORT,STRUCTUAL_DEBT_INDEX,
com.netflix.hollow.core.type.HDouble,4,0,1,3,0,
com.netflix.hollow.api.client.HollowClientConsumerBridge,26,7,7,28,0,
com.netflix.hollow.core.type.BooleanHollowFactory,1,0,1,4,0,
com.netflix.hollow.api.consumer.metrics.ConsumerRefreshMetrics,0,0,0,9,0,
com.netflix.hollow.api.objects.delegate.HollowMapCachedDelegate,32,3,3,12,0,
com.netflix.hollow.tools.diff.exact.mapper.DiffEqualityObjectMapper,34,2,2,16,0,
com.netflix.hollow.core.index.HollowPreindexer,10,5,0,16,0,
com.netflix.hollow.core.read.dataaccess.HollowObjectTypeDataAccess,0,0,0,0,0,
com.netflix.hollow.tools.history.HollowHistory,72,3,0,18,0,
com.netflix.hollow.api.producer.AbstractHollowProducerListener,0,0,1,8,0,
com.netflix.hollow.api.producer.validation.DuplicateDataDetectionValidator,26,0,1,15,0,
com.netflix.hollow.api.producer.validation.ValidatorListener,0,0,0,0,0,
com.netflix.hollow.core.schema.HollowListSchema,0,1,1,3,0,
com.netflix.hollow.tools.combine.HollowCombinerIncludeOrdinalsCopyDirector,2,0,1,3,0,
com.netflix.hollow.api.sampling.HollowObjectSampler,9,1,1,7,0,
com.netflix.hollow.core.HollowStateEngine,0,0,0,0,0,
com.netflix.hollow.core.read.engine.PopulatedOrdinalListener,0,0,1,1,0,
com.netflix.hollow.core.read.engine.set.HollowSetTypeReadStateShard,14,2,0,10,0,
com.netflix.hollow.core.read.dataaccess.HollowTypeDataAccess,0,0,0,0,0,
com.netflix.hollow.core.read.OptionalBlobPartInput,1,0,0,1,0,
com.netflix.hollow.core.read.dataaccess.missing.HollowMapMissingDataAccess,10,1,1,5,0,
com.netflix.hollow.tools.diff.count.HollowDiffCountingNode,8,5,0,17,0,
com.netflix.hollow.api.consumer.fs.HollowFilesystemBlobRetriever,19,2,3,15,0,
com.netflix.hollow.core.write.HollowBlobWriter,87,5,0,20,0,
com.netflix.hollow.tools.patch.record.HollowPatcherCombinerCopyDirector,6,2,1,3,0,
com.netflix.hollow.api.codegen.api.TypeAPISetJavaGenerator,7,1,1,6,0,
com.netflix.hollow.core.memory.encoding.VarInt,25,0,0,3,0,
com.netflix.hollow.core.util.IntMap,0,0,0,0,0,
com.netflix.hollow.api.consumer.index.HashIndex,0,1,1,3,0,
com.netflix.hollow.api.producer.listener.VetoableListener,0,0,0,0,0,
com.netflix.hollow.core.read.dataaccess.HollowSetTypeDataAccess,0,0,0,0,0,
com.netflix.hollow.core.type.HInteger,4,0,1,3,0,
com.netflix.hollow.api.sampling.DisabledSamplingDirector,0,0,1,1,0,
com.netflix.hollow.tools.diff.count.HollowDiffMissingCountingNode,0,0,1,1,0,
com.netflix.hollow.core.read.engine.HollowTypeReadState,12,4,1,5,0,
com.netflix.hollow.api.objects.delegate.HollowSetLookupDelegate,15,2,1,8,0,
com.netflix.hollow.core.read.engine.map.HollowMapTypeDataElements,24,5,0,5,0,
com.netflix.hollow.api.codegen.HollowCodeGenerationUtils,6,0,0,19,0,
com.netflix.hollow.core.read.engine.object.HollowObjectTypeReadState,51,3,2,11,0,
com.netflix.hollow.api.custom.HollowSetTypeAPI,6,0,1,2,0,
com.netflix.hollow.core.index.key.PrimaryKey,13,0,0,6,0,
com.netflix.hollow.tools.combine.HollowCombinerCopyDirector,0,0,0,0,0,
com.netflix.hollow.core.type.IntegerTypeAPI,5,1,1,5,0,
com.netflix.hollow.core.index.key.HollowPrimaryKeyValueDeriver,24,1,0,8,0,
com.netflix.hollow.tools.diff.HollowDiffRecordFieldExtractor,62,0,0,15,0,
