,METHOD_TO_METHOD,IMPORT,INHERITANCE,FIELD,STRUCTUAL_DEBT_INDEX,
com.google.common.collect.ArrayTable,74,27,7,5,0,
com.google.common.collect.HashMultiset,20,5,1,0,0,
com.google.common.util.concurrent.AbstractService,52,52,10,14,0,
com.google.common.base.SmallCharMatcher,0,2,1,0,0,
com.google.common.collect.SingletonImmutableList,5,3,1,0,0,
com.google.common.base.Converter,13,6,1,2,0,
com.google.common.collect.LinkedListMultimap,26,19,5,0,0,
com.google.common.collect.AbstractSetMultimap,7,3,2,0,0,
com.google.common.collect.HashMultimapGwtSerializationDependencies,0,1,1,0,0,
com.google.common.base.Function,0,0,0,0,0,
com.google.common.primitives.Floats,19,6,2,0,0,
com.google.common.base.NullnessCasts,0,0,0,0,0,
com.google.common.collect.ImmutableMap,43,30,4,5,0,
com.google.common.collect.JdkBackedImmutableBiMap,8,9,2,1,0,
com.google.common.collect.MoreCollectors,1,1,0,0,0,
com.google.common.collect.Streams,35,7,0,0,0,
com.google.common.primitives.Bytes,12,2,0,0,0,
com.google.common.math.BigIntegerMath,25,9,1,0,0,
com.google.common.graph.GraphBuilder,11,10,1,0,0,
com.google.common.util.concurrent.ForwardingFuture,1,2,1,0,0,
com.google.common.util.concurrent.TimeLimiter,0,0,0,0,0,
com.google.common.collect.ImmutableSortedMapFauxverideShim,0,3,1,0,0,
com.google.common.primitives.ImmutableDoubleArray,8,3,0,0,0,
com.google.common.collect.ForwardingMap,8,11,4,0,0,
com.google.common.collect.ForwardingListMultimap,3,2,2,0,0,
com.google.common.collect.CompactHashSet,43,8,0,0,0,
com.google.common.collect.ExplicitOrdering,5,4,1,1,0,
com.google.common.io.LittleEndianDataOutputStream,2,2,0,0,0,
com.google.common.primitives.Doubles,19,5,2,0,0,
com.google.common.cache.CacheBuilder,61,24,3,10,0,
com.google.common.math.PairedStats,40,7,0,2,0,
com.google.common.util.concurrent.ThreadFactoryBuilder,4,1,0,0,0,
com.google.common.collect.EnumHashBiMap,16,5,1,0,0,
com.google.common.collect.Comparators,8,4,0,0,0,
com.google.common.util.concurrent.NullnessCasts,0,0,0,0,0,
com.google.common.base.Stopwatch,8,3,0,1,0,
com.google.common.collect.AbstractMultiset,6,9,3,0,0,
com.google.common.io.LineBuffer,0,0,0,0,0,
com.google.common.primitives.Shorts,21,4,2,0,0,
com.google.common.collect.CompoundOrdering,1,2,1,0,0,
com.google.common.collect.Iterators,72,28,11,3,0,
com.google.common.collect.SortedMultisets,27,10,1,1,0,
com.google.common.hash.Murmur3_128HashFunction,15,5,2,2,0,
com.google.common.util.concurrent.AtomicDoubleArray,4,2,0,0,0,
com.google.common.util.concurrent.FakeTimeLimiter,7,4,1,0,0,
com.google.common.collect.SingletonImmutableBiMap,5,5,1,2,0,
com.google.common.collect.EvictingQueue,7,3,1,0,0,
com.google.common.util.concurrent.AbstractIdleService,16,10,3,2,0,
com.google.common.collect.CompactHashing,4,3,0,0,0,
com.google.common.collect.ConsumingQueueIterator,1,2,1,0,0,
com.google.common.cache.RemovalNotification,1,1,0,0,0,
com.google.common.hash.AbstractByteHasher,5,7,1,0,0,
com.google.common.base.Equivalence,4,6,1,0,0,
com.google.common.util.concurrent.UncaughtExceptionHandlers,0,0,0,0,0,
com.google.common.collect.Interners,10,11,2,3,0,
com.google.common.eventbus.Subscriber,4,4,0,1,0,
com.google.common.collect.CompactLinkedHashMap,11,10,4,0,0,
com.google.common.collect.ReverseNaturalOrdering,10,3,1,0,0,
com.google.common.collect.Maps,188,101,30,13,0,
com.google.common.primitives.Ints,22,5,2,0,0,
com.google.common.cache.Striped64,0,0,0,0,0,
com.google.common.collect.SetMultimap,0,0,0,0,0,
com.google.common.collect.TransformedIterator,1,1,0,0,0,
com.google.common.primitives.Primitives,3,1,0,0,0,
com.google.common.reflect.ImmutableTypeToInstanceMap,10,7,2,2,0,
com.google.common.collect.DescendingImmutableSortedSet,19,2,1,1,0,
com.google.common.base.Utf8,1,1,0,0,0,
com.google.common.util.concurrent.WrappingExecutorService,6,4,0,0,0,
com.google.common.util.concurrent.ListenerCallQueue,9,3,0,0,0,
com.google.common.util.concurrent.ClosingFuture,73,39,8,5,0,
com.google.common.net.package-info,0,0,0,0,0,
com.google.common.util.concurrent.AbstractFuture,14,7,1,1,0,
com.google.common.graph.AbstractValueGraph,15,7,4,1,0,
com.google.common.collect.RegularContiguousSet,34,16,4,3,0,
com.google.common.hash.Crc32cHashFunction,1,3,2,1,0,
com.google.common.collect.RangeSet,0,0,0,0,0,
com.google.common.escape.CharEscaper,2,3,1,0,0,
com.google.common.cache.AbstractLoadingCache,2,5,2,0,0,
com.google.common.reflect.MutableTypeToInstanceMap,9,9,5,0,0,
com.google.common.cache.package-info,0,0,0,0,0,
com.google.common.primitives.UnsignedInteger,15,2,0,0,0,
com.google.common.collect.SortedLists,10,3,0,0,0,
com.google.common.collect.LinkedHashMultiset,19,5,1,0,0,
com.google.common.collect.ImmutableRangeSet,163,53,6,6,0,
com.google.common.cache.Weigher,0,0,0,0,0,
com.google.common.collect.AbstractSortedSetMultimap,6,7,2,0,0,
com.google.common.collect.RowSortedTable,0,0,0,0,0,
com.google.common.collect.ByFunctionOrdering,7,4,1,2,0,
com.google.common.escape.ArrayBasedUnicodeEscaper,4,3,1,0,0,
com.google.common.cache.ForwardingLoadingCache,6,4,2,1,0,
com.google.common.base.FinalizableReference,0,0,0,0,0,
com.google.common.collect.AbstractMapEntry,2,1,0,0,0,
com.google.common.base.Predicate,0,0,0,0,0,
com.google.common.util.concurrent.TrustedListenableFutureTask,8,9,3,2,0,
com.google.common.hash.Striped64,0,0,0,0,0,
com.google.common.collect.ForwardingSortedMap,1,4,2,0,0,
com.google.common.collect.Serialization,8,3,0,0,0,
com.google.common.collect.GeneralRange,33,5,0,0,0,
com.google.common.collect.AbstractListMultimap,6,3,2,0,0,
com.google.common.io.MultiReader,3,2,0,0,0,
com.google.common.collect.ForwardingBlockingDeque,0,1,1,0,0,
com.google.common.primitives.UnsignedLong,16,3,0,0,0,
com.google.common.graph.UndirectedGraphConnections,6,11,2,0,0,
com.google.common.util.concurrent.ExecutionError,0,0,0,0,0,
com.google.common.io.CharSequenceReader,5,1,0,0,0,
com.google.common.util.concurrent.RateLimiter,10,7,0,1,0,
com.google.common.primitives.UnsignedInts,13,3,0,0,0,
com.google.common.base.Enums,4,4,1,0,0,
com.google.common.hash.Murmur3_32HashFunction,7,12,2,2,0,
com.google.common.collect.ForwardingTable,21,3,2,0,0,
com.google.common.util.concurrent.GwtFuturesCatchingSpecialization,0,0,0,0,0,
com.google.common.collect.Lists,48,29,3,2,0,
com.google.common.reflect.Types,32,20,4,7,0,
com.google.common.cache.LocalCache,341,83,10,46,0,
com.google.common.math.MathPreconditions,0,0,0,0,0,
com.google.common.collect.UnmodifiableListIterator,0,1,1,0,0,
com.google.common.io.ByteArrayDataInput,0,0,0,0,0,
com.google.common.io.PatternFilenameFilter,1,1,0,0,0,
com.google.common.graph.ImmutableNetwork,52,25,4,4,0,
com.google.common.collect.ImmutableMultimap,58,39,6,3,0,
com.google.common.io.InsecureRecursiveDeleteException,0,0,0,0,0,
com.google.common.util.concurrent.WrappingScheduledExecutorService,0,1,1,0,0,
com.google.common.collect.DenseImmutableTable,34,16,3,4,0,
com.google.common.collect.ImmutableSortedSet,43,22,3,1,0,
com.google.common.base.Charsets,0,0,0,0,0,
com.google.common.base.CharMatcher,31,14,1,1,0,
com.google.common.collect.FilteredKeyMultimap,23,18,5,2,0,
com.google.common.xml.XmlEscapers,15,2,0,3,0,
com.google.common.collect.MinMaxPriorityQueue,22,9,0,1,0,
com.google.common.hash.FarmHashFingerprint64,31,4,1,1,0,
com.google.common.hash.MacHashFunction,5,5,2,0,0,
com.google.common.graph.MutableValueGraph,0,0,0,0,0,
com.google.common.hash.ImmutableSupplier,0,0,0,0,0,
com.google.common.base.Preconditions,74,1,0,0,0,
com.google.common.collect.AbstractRangeSet,6,2,1,0,0,
com.google.common.collect.MapMaker,23,7,0,1,0,
com.google.common.graph.Graph,0,0,0,0,0,
com.google.common.collect.ForwardingDeque,0,1,1,0,0,
com.google.common.util.concurrent.Partially,0,0,0,0,0,
com.google.common.collect.AbstractBiMap,19,15,6,0,0,
com.google.common.util.concurrent.ServiceManagerBridge,0,0,0,0,0,
com.google.common.util.concurrent.SettableFuture,3,2,1,0,0,
com.google.common.collect.TreeMultiset,86,32,2,3,0,
com.google.common.collect.Tables,86,43,10,6,0,
com.google.common.collect.HashMultimap,31,5,1,0,0,
com.google.common.net.PercentEscaper,3,2,1,0,0,
com.google.common.util.concurrent.ListenableFutureTask,2,3,1,1,0,
com.google.common.collect.FilteredKeySetMultimap,6,6,3,0,0,
com.google.common.graph.StandardNetwork,26,11,1,4,0,
com.google.common.util.concurrent.AtomicLongMap,5,1,0,0,0,
com.google.common.util.concurrent.ExecutionList,2,1,0,0,0,
com.google.common.collect.TransformedListIterator,1,2,1,0,0,
com.google.common.base.Objects,0,1,1,0,0,
com.google.common.collect.DescendingMultiset,15,13,3,0,0,
com.google.common.io.ByteArrayDataOutput,0,0,0,0,0,
com.google.common.util.concurrent.ImmediateFuture,3,6,3,1,0,
com.google.common.collect.BiMap,0,0,0,0,0,
com.google.common.collect.ImmutableSet,25,30,3,1,0,
com.google.common.escape.Escaper,0,1,1,1,0,
com.google.common.collect.SortedSetMultimap,0,0,0,0,0,
com.google.common.collect.ImmutableMapEntry,1,2,1,0,0,
com.google.common.io.LittleEndianDataInputStream,6,4,0,0,0,
com.google.common.collect.ImmutableSortedAsList,6,6,2,0,0,
com.google.common.math.LongMath,37,5,0,0,0,
com.google.common.collect.CompactHashMap,58,23,4,0,0,
com.google.common.collect.CollectCollectors,72,36,0,0,0,
com.google.common.cache.CacheLoader,13,8,0,2,0,
com.google.common.util.concurrent.ForwardingLock,0,0,0,0,0,
com.google.common.base.ExtraObjectsMethodsForWeb,0,0,0,0,0,
com.google.common.collect.package-info,0,0,0,0,0,
com.google.common.eventbus.Dispatcher,9,8,0,1,0,
com.google.common.graph.GraphConnections,0,0,0,0,0,
com.google.common.hash.LongAdder,1,3,2,0,0,
com.google.common.util.concurrent.MoreExecutors,41,30,8,5,0,
com.google.common.primitives.Platform,1,1,0,0,0,
com.google.common.base.Defaults,1,1,0,0,0,
com.google.common.collect.AbstractMultimap,8,10,2,1,0,
com.google.common.hash.Hashing,27,19,1,5,0,
com.google.common.hash.LongAddable,0,0,0,0,0,
com.google.common.reflect.TypeToken,86,42,8,6,0,
com.google.common.hash.AbstractCompositeHashFunction,19,6,2,2,0,
com.google.common.collect.AbstractSequentialIterator,0,1,1,0,0,
com.google.common.collect.TreeTraverser,13,15,7,1,0,
com.google.common.graph.UndirectedNetworkConnections,4,6,1,0,0,
com.google.common.io.Files,61,21,4,2,0,
com.google.common.util.concurrent.UncheckedExecutionException,0,0,0,0,0,
com.google.common.collect.ForwardingCollection,9,5,1,0,0,
com.google.common.collect.ImmutableBiMapFauxverideShim,0,1,1,0,0,
com.google.common.base.FinalizableSoftReference,1,2,1,0,0,
com.google.common.eventbus.SubscriberExceptionContext,4,2,0,1,0,
com.google.common.util.concurrent.Striped,13,22,8,4,0,
com.google.common.cache.LongAddables,1,7,3,1,0,
com.google.common.collect.ImmutableTable,50,28,1,0,0,
com.google.common.collect.NaturalOrdering,4,3,1,2,0,
com.google.common.util.concurrent.AsyncFunction,0,0,0,0,0,
com.google.common.graph.SuccessorsFunction,0,0,0,0,0,
com.google.common.graph.AbstractNetwork,35,18,5,1,0,
com.google.common.cache.Cache,0,0,0,0,0,
com.google.common.graph.IncidentEdgeSet,15,2,0,1,0,
com.google.common.util.concurrent.AbstractExecutionThreadService,14,7,3,1,0,
com.google.common.cache.LoadingCache,0,0,0,0,0,
com.google.common.base.FunctionalEquivalence,9,4,1,2,0,
com.google.common.collect.ListMultimap,0,0,0,0,0,
com.google.common.graph.AbstractBaseGraph,35,21,5,0,0,
com.google.common.util.concurrent.ForwardingCondition,0,0,0,0,0,
com.google.common.math.BigDecimalMath,0,1,1,0,0,
com.google.thirdparty.publicsuffix.PublicSuffixPatterns,3,1,0,3,0,
com.google.common.collect.ComputationException,0,0,0,0,0,
com.google.common.collect.RegularImmutableList,1,3,1,1,0,
com.google.common.net.HttpHeaders,0,0,0,0,0,
com.google.common.util.concurrent.ForwardingBlockingDeque,0,1,1,0,0,
com.google.common.primitives.ParseRequest,0,0,0,0,0,
com.google.common.collect.SingletonImmutableTable,16,7,1,0,0,
com.google.common.graph.ForwardingNetwork,26,2,1,0,0,
com.google.common.primitives.Longs,21,3,1,0,0,
com.google.common.collect.ImmutableMapKeySet,10,6,1,2,0,
com.google.common.base.Verify,24,2,0,0,0,
com.google.common.collect.ForwardingListIterator,0,1,1,0,0,
com.google.common.net.UrlEscapers,0,1,0,3,0,
com.google.common.collect.Multisets,180,77,12,13,0,
com.google.common.base.Ticker,1,1,0,0,0,
com.google.common.collect.ComparisonChain,4,3,0,0,0,
com.google.common.primitives.ImmutableIntArray,8,3,0,0,0,
com.google.common.math.StatsAccumulator,20,4,0,0,0,
com.google.common.io.CountingInputStream,1,1,0,0,0,
com.google.common.base.CommonPattern,2,1,0,0,0,
com.google.common.util.concurrent.AggregateFutureState,1,3,1,0,0,
com.google.common.hash.Funnel,0,0,0,0,0,
com.google.common.util.concurrent.AbstractScheduledService,28,21,4,2,0,
com.google.common.eventbus.SubscriberExceptionHandler,0,0,0,0,0,
com.google.common.io.ByteStreams,23,8,2,0,0,
com.google.common.base.Present,5,3,1,0,0,
com.google.common.collect.FilteredMultimap,0,0,0,0,0,
