,METHOD_TO_METHOD,INHERITANCE,IMPORT,FIELD,STRUCTUAL_DEBT_INDEX,
com.google.common.io.FileBackedOutputStream,0,0,0,1,0,
com.google.common.collect.ContiguousSet,36,1,0,1,0,
com.google.common.escape.CharEscaperBuilder,3,1,0,0,0,
com.google.common.collect.RegularImmutableAsList,7,1,0,2,0,
com.google.common.base.PatternCompiler,0,0,0,0,0,
com.google.common.primitives.ImmutableLongArray,8,0,1,0,0,
com.google.common.util.concurrent.ListeningScheduledExecutorService,0,0,0,0,0,
com.google.common.collect.ImmutableSortedMap,86,2,0,2,0,
com.google.common.util.concurrent.ForwardingBlockingQueue,0,1,1,0,0,
com.google.common.io.BaseEncoding,53,0,2,0,0,
com.google.common.collect.ForwardingSetMultimap,4,2,0,0,0,
com.google.common.base.MoreObjects,4,0,0,0,0,
com.google.common.net.InetAddresses,31,0,5,2,0,
com.google.common.graph.ElementOrder,13,0,4,0,0,
com.google.common.base.Function,0,0,0,0,0,
com.google.common.collect.ImmutableMap,31,1,0,4,0,
com.google.common.collect.JdkBackedImmutableBiMap,7,2,0,1,0,
com.google.common.primitives.Bytes,12,0,0,0,0,
com.google.common.util.concurrent.ForwardingFuture,1,1,2,0,0,
com.google.common.util.concurrent.TimeLimiter,0,0,0,0,0,
com.google.common.collect.ImmutableSortedMapFauxverideShim,0,1,0,0,0,
com.google.common.collect.CompactHashSet,43,0,3,0,0,
com.google.common.cache.CacheBuilder,63,0,6,12,0,
com.google.common.base.Stopwatch,8,0,0,1,0,
com.google.common.collect.SingletonImmutableBiMap,5,1,0,2,0,
com.google.common.util.concurrent.AbstractIdleService,20,3,1,2,0,
com.google.common.collect.ConsumingQueueIterator,2,1,0,0,0,
com.google.common.cache.RemovalNotification,1,0,0,0,0,
com.google.common.base.Equivalence,4,1,0,0,0,
com.google.common.collect.CompactLinkedHashMap,16,1,0,0,0,
com.google.common.collect.Maps,187,12,8,10,0,
com.google.common.cache.Striped64,0,0,0,0,0,
com.google.common.collect.SetMultimap,0,0,0,0,0,
com.google.common.collect.TransformedIterator,1,0,0,0,0,
com.google.common.collect.DescendingImmutableSortedSet,17,1,0,1,0,
com.google.common.util.concurrent.WrappingExecutorService,6,0,1,0,0,
com.google.common.util.concurrent.ListenerCallQueue,9,0,2,0,0,
com.google.common.util.concurrent.AbstractFuture,10,1,1,1,0,
com.google.common.graph.AbstractValueGraph,14,2,2,0,0,
com.google.common.collect.RegularContiguousSet,34,1,0,3,0,
com.google.common.hash.Crc32cHashFunction,1,2,0,1,0,
com.google.common.collect.RangeSet,0,0,0,0,0,
com.google.common.escape.CharEscaper,2,1,0,0,0,
com.google.common.collect.LinkedHashMultiset,7,1,0,0,0,
com.google.common.escape.ArrayBasedUnicodeEscaper,5,1,0,0,0,
com.google.common.base.FinalizableReference,0,0,0,0,0,
com.google.common.util.concurrent.TrustedListenableFutureTask,3,2,0,2,0,
com.google.common.collect.AbstractListMultimap,7,2,0,0,0,
com.google.common.io.MultiReader,3,0,1,0,0,
com.google.common.collect.ForwardingTable,21,2,0,0,0,
com.google.common.io.ByteArrayDataInput,0,0,0,0,0,
