,METHOD_TO_METHOD,INHERITANCE,IMPORT,FIELD,STRUCTUAL_DEBT_INDEX,
org.mockito.internal.creation.bytebuddy.ConstructionCallback,0,0,0,0,0,
org.mockito.internal.MockitoCore,82,0,30,0,0,
org.mockito.internal.util.io.IOUtil,0,0,1,0,0,
org.mockito.listeners.InvocationListener,0,0,0,0,0,
org.mockito.internal.debugging.FindingsListener,0,0,0,0,0,
org.mockito.listeners.VerificationStartedListener,0,0,0,0,0,
org.mockito.stubbing.Stubber,0,0,0,0,0,
org.mockito.internal.creation.bytebuddy.InlineByteBuddyMockMaker,13,3,6,1,0,
org.mockito.stubbing.Answer,0,0,0,0,0,
org.mockito.internal.matchers.Any,0,2,1,0,0,
org.mockito.stubbing.Stubbing,0,0,0,0,0,
org.mockito.stubbing.ValidableAnswer,0,0,0,0,0,
org.mockito.exceptions.misusing.WrongTypeOfReturnValue,0,1,1,0,0,
org.mockito.internal.MockedStaticImpl,51,1,16,2,0,
org.mockito.internal.configuration.injection.filter.TerminalMockCandidateFilter,4,1,3,0,0,
org.mockito.internal.exceptions.stacktrace.DefaultStackTraceCleaner,0,1,1,0,0,
org.mockito.internal.util.reflection.InstrumentationMemberAccessor,2,1,2,0,0,
org.mockito.exceptions.base.MockitoAssertionError,1,0,1,0,0,
org.mockito.internal.invocation.InvocationMarker,3,0,3,0,0,
org.mockito.internal.matchers.text.ValuePrinter,1,0,0,0,0,
org.mockito.runners.MockitoJUnitRunner,3,0,0,0,0,
org.mockito.internal.verification.SingleRegisteredInvocation,0,1,1,1,0,
org.mockito.internal.stubbing.answers.ThrowsException,0,1,2,0,0,
org.mockito.internal.util.reflection.ModuleMemberAccessor,5,1,1,1,0,
org.mockito.internal.creation.instance.Instantiator,0,0,0,0,0,
org.mockito.internal.debugging.WarningsCollector,4,0,4,0,0,
org.mockito.ArgumentMatcher,0,0,0,0,0,
org.mockito.internal.stubbing.answers.ThrowsExceptionForClassType,3,1,2,0,0,
org.mockito.internal.matchers.ContainsExtraTypeInfo,0,0,0,0,0,
org.mockito.internal.verification.checkers.MissingInvocationChecker,17,0,6,0,0,
org.mockito.internal.util.Checks,0,0,0,0,0,
org.mockito.verification.VerificationWithTimeout,0,0,0,0,0,
org.mockito.internal.util.MockCreationValidator,8,0,0,0,0,
org.mockito.invocation.StubInfo,0,0,0,0,0,
